Web Series Name,Original Language - Year of Release,Episodes,Overview,MDL Rating
Call Me by Fire Season 3,Chinese TV Show - 2023,18 episodes,"""Call Me by Fire Season 3"" takes ""overcoming obstacles and striving for China"" as the core, through the stories of 32 male guests who are constantly challenging, exploring, and striving to forge ahead, showing the fighting…",7.9
Cravity Park,Korean TV Show - 2020,9 episodes,"'CRAVITY' members will be producing their own variety show through their own concepts every week, starting on June 1st, 2020. This fun series will showcase different sides of the rookie group through unique and refreshing…",8.7
Love Deadline,Japanese TV Show - 2024,10 episodes,"Looking for true love, women meet potential husbands while traveling to scenic locales. The catch? Only women can propose, while men are on the clock.

(Source: Netflix)",7.2
Sisters Over Flowers,Korean TV Show - 2013,8 episodes,"Produced by Na PD, this show is about 4 actresses traveling in Turkey and Croatia with Lee Seung Gi joining them as the luggage boy.

(Source: MyDramaList)",8.1
EXID's Showtime,Korean TV Show - 2015,8 episodes,"The first reality TV show of EXID, a female idol group that became sensational in 2015, includes never-before-seen footage that covers their dramatic journey to fame as well as honest Q/A time with members. (Source:ondemandkorea)",8.1
Hello Summer Season 1,Chinese TV Show - 2022,23 episodes,"This is a show about 6 young adults who come together on an island away from the cities on the lookout for love. The contestants will live together in a pair of 2's, each in different houses, but only a few meters away…",7.7
The Coming One Season 4,Chinese TV Show - 2020,11 episodes,"The program is composed of Deng Ziqi, Lang Lang, Ouyang Nana, Zhou Zhennan, Liang Long, and Pu Shu. The ""Tomorrow Teachers' Group"" will help from the perspective of singing strength, instrumental performance, stage experience,…",8.1
Heart Signal Season 2: Resident Special,Korean TV Show - 2018,2 episodes,"Participants meet panelists in a separate studio which discuss behind-the-scenes stories and answer questions from fans.

(Source: MyDramaList)",7.7
Off the Grid,Korean TV Show - 2021,20 episodes,“Off the Grid” is one of cinematic road program in Discovery Channel Korea. This program is a travel variety show that has different actors each episodes as the cast. Off The Grid depicts how the casts spend their…,8.6
Seventeen Amigo TV,Korean TV Show - 2018,3 episodes,Overview not available,8.5
Pork Belly Rhapsody,Korean TV Show - 2020,2 episodes,"A love letter to pork belly, a perennial favorite among Koreans of every generation, unfolds with an exploration of its history and cooking methods.

(Source: Netflix)",7.9
BLACKPINK Summer Diary in Everland,Korean TV Show - 2021,1 episodes,Overview not available,8.6
Sim For You Season 3,Korean TV Show - 2020,24 episodes,"“Sim For You” is a reality series that chronicles each EXO member’s life and reveal stories from their everyday life as a series.
The third season will follow leader Suho.",8.6
Ride on Time Season 1,Japanese TV Show - 2018,24 episodes,"A Collaboration between J-storm and Fuji TV. Cameras work closely with an artist or the staff who creates a concert. It is a program that digs deeper into the theme as a ""continuous documentary"" that covers the same…",8.0
Shinhwa Broadcast Season 1,Korean TV Show - 2012,60 episodes,Shinhwa is stars for their own variety show which is part of their comeback project. Sometimes they have guests in show.,8.4
Law of the Jungle in Sabah,Korean TV Show - 2018,9 episodes,"Law of the Jungle episodes 325-333 with the themes ""Escaping Survival from Asia's Amazon"" (1st Half) and ""24 Hours Survival on Garbage Island"" (2nd Half).",8.2
Creator Campus,Korean TV Show - 2019,12 episodes,"The fresh campus life of 8 web drama actors and actresses, gathered to become youtube creators",7.7
When You Call My Name,Korean TV Show - 2018,8 episodes,"In a collision of K-pop and American R&B, legendary K-pop group MONSTA X meets Grammy-nominated American singer and songwriter Gallant! Witness the incredible reunion between these two influential artists from different…",8.3
Show Me the Money Season 2,Korean TV Show - 2013,9 episodes,"The format of each season varies, but generally consists of contestants going head to head in a series of challenges until only one rapper remains. The show includes a mixture of rookie and experienced rappers, with…",7.8
Stage K,Korean TV Show - 2019,11 episodes,Global fans are entering a K-Pop competition to be able to stand on the stage with K-Pop stars.,7.9
Super Band 2,Korean TV Show - 2021,15 episodes,"""Super Band"" aims to form a supergroup of talented musicians to appeal to the global audience. After the surprise hit of Season 1, the show comes back with more renowned judges and talented contestants. The only goal…",8.1
Time to Twice: Crime Scene,Korean TV Show - 2020,6 episodes,"The legendary group, Tiger Moth and its most popular leader Na Ga Su; the group disbanded with no signs and Na Ga Su disappeared. But today, the kind returns after 20 years, comeback, Na Ga Su - ""Death"" . All members…",8.4
So in Love,Chinese TV Show - 2022,11 episodes,A journey of people who are single since birth coming together to start a romantic relationship. Seven young men and women stayed in Peony Village located in Dongshan Island interact and get to know each other in the…,7.9
The Rap of China Season 1,Chinese TV Show - 2017,12 episodes,The Rap of China is a Chinese rap reality show produced by IQiyi. The show is based on a South Korean rap reality show called Show Me The Money. The show has four celebrity producers whose job is to train and guide the…,8.0
World Klass,Korean TV Show - 2019,10 episodes,World Klass is a global idol project or TOO (Ten Oriented Orchestra) where 20 global trainees will compete to be the final ten members and debut as TOO. Stone Music Entertainment will produce and market the final line…,8.0
BEAST Showtime,Korean TV Show - 2014,12 episodes,A reality show based on the members of BEAST before their comeback.,8.4
Hwaiting Season 3,Korean TV Show - 2023,5 episodes,Overview not available,8.2
Ssap-Dance: Ateez,Korean TV Show - 2021,7 episodes,"Even if you reject me, we are still connected... Will Ateez be able to get through each round well with the ‘mate of fate’?!

(Source: YouTube)",8.6
I Am Ground,Korean TV Show - 2024,4 episodes,"We always dream of making local friends every time we travel abroad! It's not easy due to language barriers, but here, four celebrities decide to make international friends boldly by playing K-games. Despite being a…",8.3
Be With You Season 2,Chinese TV Show - 2021,10 episodes,"Siblings from season 1 as well as new siblings will join season 2 of ""Be With You."" This show is about how brothers have a huge age gap with their younger sister. Brothers tend to be busy with their work, but this show…",8.5
Seoul Check-in Season 1,Korean TV Show - 2022,6 episodes,Kim Tae Ho returns with a new show featuring Lee Hyo Ri. Her easy-going and cool personality can be fully seen as she makes a visit to Seoul every week from Jeju Island. She visits the hottest places in Seoul and meets…,7.9
VIXX's One Fine Day,Korean TV Show - 2015,8 episodes,Popular idol travel variety show. VIXX is heading to Jeju island to rest and do to some challenges.,8.3
aespa’s Synk Road,Korean TV Show - 2022,12 episodes,"aespa, the fourth-generation girl group that represents Korea, starts its first reality travel show. The first travel spots of the Synk Road are Gangwon's East Sea and Pyeongchang. Throughout the trip, the members must…",8.3
Jaechan's Dream,Korean TV Show - 2022,193 episodes,"Time for precious conversation for everyone who dreams. This time, it's a dream for you and me.

(Source: Korean = now.naver.com || Translation = MyDramaList)",8.4
The Devil Wears Jung Nam 2,Korean TV Show - 2021,12 episodes,Overview not available,8.3
City Police,Korean TV Show - 2019,10 episodes,"Learn all about criminal investigations with Urban Cop! Urban Cops is a variety show that offers the inside look at criminal investigations, allowing viewers to be a part of nerve-racking missions. Upon completion of…",8.4
Inkigayo,Korean TV Show - 1991,1240 episodes,"The show features some of the latest and most popular artists who perform on stage. It is broadcast from the SBS Open Hall in Deungchon-dong, Gangseo-gu, Seoul.",8.1
Things that Make Me Groove Season 2,Korean TV Show - 2022,14 episodes,Overview not available,8.3
RUN,Korean TV Show - 2020,4 episodes,The show follows the cast as they participate in meet-ups at various runnings spots both in and outside of Korea to experience “the joy of running.” The four actors join forces to become a running crew. After their…,7.7
Lee Mu Jin Service,Korean TV Show - 2022,150 episodes,"""Lee Mu Jin Service"" is a high-quality live content in which MZ generation's representative singer-songwriter Lee Mu Jin, along with other artists, provides the best music service that catches the eyes and ears of music…",8.3
NCT DREAM A Midsummer Day's Dream,Korean TV Show - 2020,3 episodes,NCT DREAM A Mid Summer Day's Dream,8.5
Time to Twice: Twice and the Chocolate Factory,Korean TV Show - 2021,4 episodes,Overview not available,8.3
Friday Night,Korean TV Show - 2020,11 episodes,"“Friday Night,” the new program will consist of six short-form segments with different themes like sports, science, art, travel, cooking, and factories. It will be co-directed by PD Na Young Suk and PD Jang Eun Jung.…",7.9
Ace vs Ace Season 4,Chinese TV Show - 2019,12 episodes,Wang Pai is a large-scale original indoor sports reality show launched by Zhejiang Satellite TV. Each issue surrounds a theme and invites two ace teams. The two team captains lead several popular guests to conduct PK…,8.3
Birds of a Feather,Korean TV Show - 2020,17 episodes,"“Birds of a Feather” is a new variety show where the cast and guests will be divided by their dispositions, and everyone will respect each other’s different tendencies. The first variety show of its kind, it will…",7.9
